//5 = elemental
//#	Map	Dis	X	Y	X2	Y2	Dir	Qnt	Element

//4 = events
//#	Map	Dis	X	Y	Dir

//3 = invasions
//#	Map	Dis	X1	Y1	X2	Y2	Dir	Qnt

//2 = fixed position
//#	Map	Dis	X	Y	Dir

//1 = ranged position
//#	Map	Dis	X	Y	X2	Y2	Dir	Qnt

//0 = NPC
//#	Map	Dis	X	Y	Dir

//Para configurar tabela de hit
2
//1	0	1	144	126	-1
end

//-----------------------------------------------------------------------------------
// Referencias para o Monster Spawner
//-----------------------------------------------------------------------------------
3
//#	Map	Dis	X1	Y1	X2	Y2	Dir	Qnt
42	0	3	133	56	162	95	-1	1	//Red Dragon
43	0	3	133	56	162	95	-1	1	//Golden Budge Dragon
44	80	3	132	161	186	87	-1	1	//Golden Dragon
53	2	3	66	158	85	190	-1	1	//Golden Titan
54	2	3	66	158	85	190	-1	1	//Golden Soldier
55	0	3	129	213	148	227	-1	1	//Death King
56	0	3	129	213	148	227	-1	1	//Death Bone
78	3	3	148	89	163	126	-1	1	//Golden Goblin 2
79	80	3	132	161	186	87	-1	1	//Golden Derkon
80	7	3	37	151	94	190	-1	1	//Golden Lizard King
81	7	3	219	85	225	91	-1	1	//Golden Vepar
82	8	3	64	125	109	174	-1	1	//Golden Tantallos
83	8	3	64	125	109	174	-1	1	//Golden Wheel
493	4	3	8	86	57	105	-1	1	//Golden Dark Knight
494	4	3	8	86	57	105	-1	1	//Golden Devil
495	33	3	160	171	213	215	-1	1	//Golden Stone Golem
496	10	3	10	14	84	51	-1	1	//Golden Crust
499	57	3	141	177	187	224	-1	1	//Golden Iron Knight
498	38	3	97	76	135	105	-1	1	//Golden Twin Tail
497	37	3	46	220	82	243	-1	1	//Golden Satyros
500	56	3	192	186	196	204	-1	1	//Golden Napin
501	81	3	194	150	215	167	-1	1	//Great Golden Dragon
502	51	3	95	199	122	235	-1	1	//Golden Rabbit

135	2	30	180	101	237	137	-1	1	//White Wizard
136	2	30	180	101	237	137	-1	1	//Orc Soldier
137	2	30	180	101	237	137	-1	1	//Orc Archer
295	31	30	207	211	216	222	-1	1	//Erohim

365	0	30	1	1	254	254	-1	1	//Pouch of Blessing (Lorencia)
365	2	30	1	1	254	254	-1	1	//Pouch of Blessing (Devias)
365	3	30	1	1	254	254	-1	1	//Pouch of Blessing (Noria)
365	51	30	1	1	254	254	-1	1	//Pouch of Blessing (Elbeland)

413	0	30	1	1	250	250	-1	1	// Gold Rabbit Lorencia
413	1	30	49	1	250	137	-1	1	// Gold Rabbit Dungeon 2
413	3	30	1	1	250	250	-1	1	// Gold Rabbit Noria
413	2	30	1	1	250	250	-1	1	// Gold Rabbit Devias
413	51	30	1	1	250	250	-1	1	// Gold Rabbit Elbeland
413	4	30	79	165	135	252	-1	1	// Gold Rabbit Lost Tower 3

463	4	30	1	83	60	251	-1	1	// Fire Flame Ghost Lost Tower 7
463	33	30	1	1	250	250	-1	1	// Fire Flame Ghost Aida
463	10	30	4 	17 	104 	205	-1	1	// Fire Flame Ghost Icarus
463	4	30	78 	84 	136 	140	-1	1	// Fire Flame Ghost Lost Tower 4
463	1	30	1 	49 	46 	129	-1	1	// Fire Flame Ghost Dungeon 3
463	7	30	9	152	186	240	-1	1	// Fire Flame Ghost Atlans 3

466	2	30	193	227	204	242	-1	10	// Cursed Goblin
476	2	30	193	227	204	242	-1	1	// Cursed Santa

560	56	30	50	10	184	171	-1	7	// Evil tree demon

//4 medusas
561	56	5	156	99	246	247	-1	1 	// BOSS - MEDUSA
561	56	5	114	1	242	94	-1	1 	// BOSS - MEDUSA
561	56	5	2	1	75	137	-1	1 	// BOSS - MEDUSA
561	56	5	2	151	143	244	-1	1 	// BOSS - MEDUSA

674	0	30	1	1	254	254	-1	10	// Moon Rabbit
674	2	30	1	1	254	254	-1	10	// Moon Rabbit
674	3	30	1	1	255	255	-1	10	// Moon Rabbit
674	51	30	1	1	254	254	-1	10	// Moon Rabbit

//652	37	30	1	1	254	254	-1	1	// Golden Goblin (Colossus)

673	100	30	114	100	139	123	-1	1	// Lord Silvester

716	110	30	129	125	161	172	-1	1	// Core Magriffy

735	112	0	24	123	24	123	-1	1	// Ferea Crystal Ball
734	112	30	22	107	47	137	-1	1	// Lord of Ferea

//790	122	30	174	8	194	28	-1	1	// Monster of the Swamp
791	122	30	174	8	194	28	-1	1	// Pet of the Swamp
792	122	30	174	8	194	28	-1	1	// Pet of the Swamp
793	122	30	174	8	194	28	-1	1	// Monster of the Water
794	122	30	174	8	194	28	-1	1	// God of Darkness
778	120	30	223	214	248	249	-1	1	// Gorgon Deep Dungeon

//681	63	30	1	1	254	254	-1	1	//Evomon (Vulcanus)
//690	63	30	1	1	254	254	-1	1	//Special Evomon (Vulcanus)

79	0	100	10	10	244	244	-1	1	//Dragao Dourado Lorencia
79	2	100	10	10	244	244	-1	1	//Dragao Dourado Devias
79	3	100	10	10	244	244	-1	1	//Dragao Dourado Noria
79	51	100	10	10	244	244	-1	1	//Dragao Dourado Elbeland

//MASMORRA
18	1	30	88	220	90	222	-1	1	//Gorgon
18	1	30	44	245	46	247	-1	1	//Gorgon
18	1	30	49	203	51	205	-1	1	//Gorgon
18	1	30	74	167	76	169	-1	1	//Gorgon
18	1	30	135	239	137	241	-1	1	//Gorgon
18	1	30	213	226	215	228	-1	1	//Gorgon
18	1	30	161	154	163	156	-1	1	//Gorgon
18	1	30	242	172	244	174	-1	1	//Gorgon
18	1	30	230	114	232	116	-1	1	//Gorgon
18	1	30	174	120	176	122	-1	1	//Gorgon
18	1	30	86	118	88	120	-1	1	//Gorgon
18	1	30	71	55	73	57	-1	1	//Gorgon
18	1	30	158	96	160	98	-1	1	//Gorgon
18	1	30	244	74	246	76	-1	1	//Gorgon
