3
//Index   DropRate
0         10000
1         10000
2         10000
end

4
//Index   Section   SectionRate   MoneyAmount   OptionValue   DW   DK   FE   MG   DL   SU   RF  GL
0         5         10000         0             0             1    1    1    1    1    1    1	1
1         6         10000         0             0             1    1    1    1    1    1    1	1
2         6         10000         0             0             1    1    1    1    1    1    1	1
end

5

//Index	Level	Grade	Option0	Option1	Option2	Option3	Option4	Option5	Option6	Duration
//Pentagramas Lv180
6347	0	0	28	*	*	*	*	*	25	0	//Iron Shield of the Magic
6349	0	0	28	*	*	*	*	*	25	0	//Brave Hero Elixir
6351	0	0	28	*	*	*	*	*	25	0	//Merciless Gladiator's Dagger
6361	0	0	28	*	*	*	*	*	25	0	//Thoughtful Sage's Jewel

end


6
//Index	Level	Grade	Option0	Option1	Option2	Option3	Option4	Option5	Option6	Duration	Comment	
//Escudos Sockets	
3089	0	0	28	13	13	3	0	*	25	0	//Crimson Glory	
3090	0	0	28	13	13	3	0	*	25	0	//Salamander Shield	
3091	0	0	28	13	13	3	0	*	25	0	//Frost Barrier	
3092	0	0	28	13	13	3	0	*	25	0	//Guardian Shield
3094	0	0	28	13	13	3	0	*	25	0	//Lazy Wind Shield
3095	0	0	28	13	13	3	0	*	25	0	//Light Lord Shield
3096	0	0	28	13	13	3	0	*	25	0	//Dark Devil Shield
3097	0	0	28	13	13	3	0	*	25	0	//Magic Knight Shield
3098	0	0	28	13	13	3	0	*	25	0	//Ambition Shield
3112	0	0	28	13	13	3	0	*	25	0	//Grace Shield
3113	0	0	28	13	13	3	0	*	25	0	//Constant Shield

//Index	Level	Grade	Option0	Option1	Option2	Option3	Option4	Option5	Option6	Duration	Comment	
//Armas Sockets	
27	0	0	28	13	13	3	0	*	25	0	//Sword Breaker
26	0	0	28	13	13	3	0	*	25	0	//Flameberge
1040	0	0	28	13	13	3	0	*	25	0	//Frost Mace
2071	0	0	28	13	13	3	0	*	25	0	//Dark Stinger
2081	0	0	28	13	13	3	0	*	25	0	//Devilwood Quiver
28	0	0	28	13	13	3	0	*	25	0	//Rune Bastard Sword
1041	0	0	28	13	13	3	0	*	25	0	//Absolute Scepter
2590	0	0	28	13	13	3	0	*	25	0	//Deadly Staff
2591	0	0	28	13	13	3	0	*	25	0	//Inberial Staff
2580	0	0	28	13	13	3	0	*	25	0	//Eternal Wing Stick
53	0	0	28	13	13	3	0	*	25	0	//Devast Claws
1558	0	0	28	13	13	3	0	*	25	0	//Rectuus
1559	0	0	28	13	13	3	0	*	25	0	//Russell Light Lance

//Index	Level	Grade	Option0	Option1	Option2	Option3	Option4	Option5	Option6	Duration	Comment	
//Sets BK
3629	0	0	28	10	13	3	0	*	25	0	//Titan Helm |25%+0+1+2+3| |SemSkill| |50%Luck| |79%SemJoL| |SemExc| |SemAncient| |Socket(60%)(37,5%)(2,0%)(0,50%)| |Duração|														
3629	0	0	28	10	13	3	0	*	25	0	//Titan Helm	
4141	0	0	28	10	13	3	0	*	25	0	//Titan Armor	
4653	0	0	28	10	13	3	0	*	25	0	//Titan Pants	
5165	0	0	28	10	13	3	0	*	25	0	//Titan Gloves	
5677	0	0	28	10	13	3	0	*	25	0	//Titan Boots			
	
