//ItemDropType
// 0 = exactly config of Skill, Luck and Option
// 1 = Skill 1 will be random, Skill 0 will never happen. Same for Luck.
//     Option will be random from 0 to MaxItemOption in configs
//     If item is Excellent, Skill will be always added

0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Green Ribbon Box"       10000     100            1               0                 1              1
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
12          15     0          0          0       0      0        0	//Jewel of Chaos
14          13     0          0          0       0      0        0	//Jewel of Bless
14          14     0          0          0       0      0        0	//Jewel of Soul
14          16     0          0          0       0      0        0	//Jewel of Life
14          42     0          0          0       0      0        0	//Jewel of Harmony
14          22     0          0          0       0      0        0	//Jewel of Creation

//14          85     0          0          0       0      0        0	//Cherry Blossom Wine
//14          86     0          0          0       0      0        0	//Cherry Blossom Rice Cake
//14          87     0          0          0       0      0        0	//Cherry Blossom Flower Petal


13          12     0          0          0       0      1        1	//Pendant of Lighting
13          13     0          0          0       0      1        1	//Pendant of Fire
13          25     0          0          0       0      1        1	//Pendant of Ice
13          26     0          0          0       0      1        1	//Pendant of Wind
13          27     0          0          0       0      1        1	//Pendant of Water
13          28     0          0          0       0      1        1	//Pendant of Ability

0           3      0          0          1       1      1        1	//Katana
0           5      0          0          1       1      1        1	//Blade
0           11     0          0          1       1      1        1	//Legendary Sword
1           3      0          0          1       1      1        1	//Tomahawk
2           1      0          0          1       1      1        1	//Morning Star
4           9      0          0          1       1      1        1	//Golden Crossbow
4           11     0          0          1       1      1        1	//Light Crossbow
5           0      0          0          1       1      1        1	//Skull Staff
5           2      0          0          1       1      1        1	//Serpent Staff

6           9      0          0          1       1      1        1	//Plate Shield
6           3      0          0          1       1      1        1	//Elven Shield
6           6      0          0          1       1      1        1	//Skull Shield

7           5      0          0          0       1      1        1	//Leather
8           5      0          0          0       1      1        1	//Leather
9           5      0          0          0       1      1        1	//Leather
10          5      0          0          0       1      1        1	//Leather	
11          5      0          0          0       1      1        1	//Leather

7           10     0          0          0       1      1        1	//Vine
8           10     0          0          0       1      1        1	//Vine
9           10     0          0          0       1      1        1	//Vine
10          10     0          0          0       1      1        1	//Vine
11          10     0          0          0       1      1        1	//Vine

7           2      0          0          0       1      1        1	//Pad
8           2      0          0          0       1      1        1	//Pad
9           2      0          0          0       1      1        1	//Pad
10          2      0          0          0       1      1        1	//Pad
11          2      0          0          0       1      1        1	//Pad

7           6      0          0          0       1      1        1	//Scale
8           6      0          0          0       1      1        1	//Scale
9           6      0          0          0       1      1        1	//Scale
10          6      0          0          0       1      1        1	//Scale
11          6      0          0          0       1      1        1	//Scale

7           11     0          0          0       1      1        1	//Silk
8           11     0          0          0       1      1        1	//Silk
9           11     0          0          0       1      1        1	//Silk
10          11     0          0          0       1      1        1	//Silk
11          11     0          0          0       1      1        1	//Silk

7           4      0          0          0       1      1        1	//Bone
8           4      0          0          0       1      1        1	//Bone
9           4      0          0          0       1      1        1	//Bone
10          4      0          0          0       1      1        1	//Bone
11          4      0          0          0       1      1        1	//Bone

7           25     0          0          0       1      1        1	//Light Plate
8           25     0          0          0       1      1        1	//Light Plate
9           25     0          0          0       1      1        1	//Light Plate
10          25     0          0          0       1      1        1	//Light Plate
11          25     0          0          0       1      1        1	//Light Plate

end
