16:26:20 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
16:31:13 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
16:47:25 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
16:47:31 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
17:11:11 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
17:12:33 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
17:17:58 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
17:20:48 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
17:21:42 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
17:39:23 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
20:27:14 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
20:31:15 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
20:32:36 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
20:37:24 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
20:38:16 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
20:59:15 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
20:59:40 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
21:04:40 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
